Experiment,Location,Community,Kingdom,Common name,S,RYT,MRY,ECS, TO,CV_K,RSE,alpha_ij,a_ij,alpha_ji,a_ji,a_mean,sd_a
Experiment,New Zeland,Plants,Plantae,Plants,2,1.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.31,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.06,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.05,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.08,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.07,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.32,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.05,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.17,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.33,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.13,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.09,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.33,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.13,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.09,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.08,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.09,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,0.97,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,5,1.12,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,7,1.24,0.18,1.5,1.03,0.41,0.83,NA,NA,NA,NA,NA,NA
Field,"Michigan, USA",Plants,Plantae,Plants,4,3.54,0.88,3.82,2.97,0.2,0.91,NA,NA,NA,NA,NA,NA
Field,"Michigan, USA",Plants,Plantae,Plants,3,4.63,1.54,3.13,1.49,1.02,0.86,NA,NA,NA,NA,NA,NA
Field,"Michigan, USA",Plants,Plantae,Plants,5,3.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Field,,Plants,Plantae,Plants,5,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Field/BIODEPTH,Germany,Plants,Plantae,Plants,10,1.12,0.11,1.5,0.59,0.6,0.59,NA,NA,NA,NA,NA,NA
