ord1,ord2,ord3,con,cor,ord1_strength,indirect,case,ND_slope,ND_intercept,ND_var_slope,ND_var_intercept,FD_slope,FD_intercept,FD_var_slope,FD_var_intercept,a_slope,a_intercept,n_com_2,n_com_3,n_com_4,n_com_5,n_com_6
"neg, ","neg, ","abs, ","l, ","neg, ","weak, ","pre, ","neg, neg, abs, neg, l, weak, pre, ",-0.004146476350566464,1.0855869303097252,-0.005421064228321249,0.08748902493597033,-1.4106866413972146,2.10778749610634,-0.029761937068262245,3.6298180702888447,-0.00576707559829468,0.09132030364963381,96.0,98.0,88.0,71.0,69.0
"neg, ","neg, ","abs, ","m, ","neg, ","strong, ","abs, ","neg, neg, abs, neg, m, strong, abs, ",-0.02360486067180956,1.3059111629872808,-0.04097569698636814,0.3792812160427477,-1.394193710450799,2.6837772667196824,0.3419997313574864,0.347766531761186,-0.01703706501304564,0.2825764361242693,98.0,97.0,84.0,60.0,26.0
"neg, ","neg, ","abs, ","m, ","neg, ","strong, ","pre, ","neg, neg, abs, neg, m, strong, pre, ",-0.017804432140577166,1.2893197052385221,-0.02714744374129623,0.3431807100220512,-1.6612407986424456,3.2150054141490676,0.5991181677452746,-0.20566211450799443,-0.018999886128728743,0.2879816411181728,98.0,97.0,82.0,51.0,20.0
"neg, ","neg, ","abs, ","m, ","neg, ","weak, ","abs, ","neg, neg, abs, neg, m, weak, abs, ",-0.004796787171722775,1.0959955567943305,-0.013348013827305927,0.12055010230014576,-1.2789676071228049,2.1100385715710224,0.22898952384653615,0.8981580301498298,-0.0049153961684966245,0.09959490687993001,98.0,95.0,88.0,85.0,83.0
"neg, ","neg, ","abs, ","m, ","neg, ","weak, ","pre, ","neg, neg, abs, neg, m, weak, pre, ",-0.0022246159572021722,1.0889043884093907,-0.010272830614865792,0.1129766486319943,-1.4658419445308646,2.440471318360251,0.31726892860321865,0.7700604049732034,-0.004718171526774297,0.09923723107831672,98.0,95.0,93.0,82.0,78.0
"neg, ","neg, ","abs, ","h, ","nul, ","strong, ","abs, ","neg, neg, abs, nul, h, strong, abs, ",-0.050764616322454985,1.378773828672426,,,-1.8863014956645763,3.5770957429404193,,,-0.016624775561185166,0.3574930499584733,96.0,89.0,38.0,2.0,0.0
"neg, ","neg, ","abs, ","h, ","nul, ","strong, ","pre, ","neg, neg, abs, nul, h, strong, pre, ",-0.025192170495870077,1.3216996397869794,,,-3.9169265514686167,7.896412370743459,,,-0.024194717079415697,0.37655849829728877,96.0,86.0,20.0,1.0,0.0
"neg, ","neg, ","abs, ","h, ","nul, ","weak, ","abs, ","neg, neg, abs, nul, h, weak, abs, ",-0.006669657116001365,1.1222602555028107,-0.015892457414271765,0.12589003988848285,-1.237414861927176,2.093274394504876,0.5923775053733769,-0.2556384261874469,-0.0041599809919386525,0.13505738604566625,99.0,93.0,92.0,69.0,15.0
"neg, ","neg, ","abs, ","h, ","nul, ","weak, ","pre, ","neg, neg, abs, nul, h, weak, pre, ",-0.0062700553509509255,1.1213294476519833,-0.01639906539481233,0.12668754602835192,-2.1520825887113255,4.162067866561886,1.3244412246269588,-2.1447411253233435,-0.005298580872967484,0.13817718720318015,99.0,93.0,77.0,49.0,8.0
"neg, ","neg, ","abs, ","l, ","nul, ","strong, ","abs, ","neg, neg, abs, nul, l, strong, abs, ",-0.060988547995642385,1.3949671898065477,,,-0.8184088451931174,1.2129006625477148,,,-0.0637593399367235,0.4332872988234734,100.0,89.0,36.0,3.0,0.0
"neg, ","neg, ","abs, ","l, ","nul, ","strong, ","pre, ","neg, neg, abs, nul, l, strong, pre, ",-0.049754005602711336,1.3697608806169033,,,-1.5266533574949233,2.7168214027810826,,,-0.06792009269397412,0.4423978245072303,100.0,87.0,29.0,3.0,0.0
"neg, ","neg, ","abs, ","l, ","nul, ","weak, ","abs, ","neg, neg, abs, nul, l, weak, abs, ",-0.014448812660672102,1.1370435871305307,-0.017682052423386652,0.13863152003409662,-1.0532042288357255,1.8375137971575723,0.4369528322652341,1.2514869919654819,-0.011348599067510361,0.13031182389954865,100.0,98.0,92.0,82.0,36.0
"neg, ","neg, ","abs, ","l, ","nul, ","weak, ","pre, ","neg, neg, abs, nul, l, weak, pre, ",-0.01333742518403682,1.1343746301919453,-0.014091972267189612,0.12693389188946685,-1.6953517668086178,3.3269053782617912,0.8427037299955323,0.7305463125873817,-0.01246303370372632,0.1335260210206915,100.0,98.0,86.0,65.0,21.0
"neg, ","neg, ","abs, ","m, ","nul, ","strong, ","abs, ","neg, neg, abs, nul, m, strong, abs, ",-0.06212961568660177,1.3817821487616777,,,-1.252371192836752,2.312074116525722,,,-0.04163523441746371,0.3754004491633284,97.0,85.0,34.0,1.0,0.0
"neg, ","neg, ","abs, ","m, ","nul, ","strong, ","pre, ","neg, neg, abs, nul, m, strong, pre, ",-0.06016039314330354,1.3783051870502034,,,-2.6482979897281678,5.323851014052547,,,-0.048940961805122196,0.3923449194379679,97.0,85.0,22.0,0.0,0.0
